Date,G_Open,G_High,G_Low,G_Close,G_Adj Close,G_Vol.,US_Price,US_Open,US_High,US_Low,US_Vol.,US_Change %
2021-08-27,231.149994,232.25,231.149994,232.25,232.25,17111,92.449,92.67,92.79,92.38,17410,-0.20%
2021-08-26,229.649994,230,229.330002,229.580002,229.580002,12676,92.635,92.705,92.76,92.395,25300,-0.02%
2021-08-25,231.729996,231.770004,230.720001,231.190002,231.190002,26128,92.652,92.68,92.79,92.595,14890,-0.05%
2021-08-24,233.559998,233.580002,232.479996,232.580002,232.580002,27852,92.694,93.075,93.195,92.63,31610,-0.41%
2021-08-23,232.429993,233.139999,231.759995,232.699997,232.699997,18458,93.078,92.825,93.095,92.825,20500,0.26%
2021-08-20,232.169998,233.949997,232,233.949997,233.949997,34591,92.832,92.92,93.14,92.82,18280,-0.07%
2021-08-19,230.550003,230.880005,229.880005,230.880005,230.880005,23731,92.901,93.015,93.09,92.815,13700,-0.08%
2021-08-18,229.720001,230.600006,229.5,230.300003,230.300003,23837,92.971,93.425,93.515,92.96,18390,-0.57%
2021-08-17,227.25,228.809998,227.199997,228.809998,228.809998,23947,93.508,93.6,93.75,93.455,15390,-0.09%
2021-08-16,225.300003,226.149994,225.300003,225.520004,225.520004,15296,93.588,93.215,93.605,93.215,20630,0.48%
2021-08-13,222.949997,223.580002,222.75,223.580002,223.580002,17157,93.144,93.155,93.275,92.945,21780,0.00%
2021-08-12,221.720001,222.110001,221.490005,221.779999,221.779999,20431,93.145,92.61,93.175,92.61,20510,0.57%
2021-08-11,219.300003,220.5,219.130005,220.410004,220.410004,24710,92.619,92.545,92.665,92.475,14710,0.12%
2021-08-10,220.5,221.320007,220.199997,220.869995,220.869995,43594,92.512,92.99,93.01,92.47,17080,-0.57%
2021-08-09,218.880005,221.490005,217.470001,221.320007,221.320007,47595,93.038,92.905,93.045,92.845,14190,0.13%
2021-08-06,227.229996,227.630005,227.070007,227.279999,227.279999,11363,92.918,93.07,93.205,92.8,18560,-0.15%
2021-08-05,228.800003,229.020004,228.059998,228.229996,228.229996,12319,93.055,92.975,93.145,92.945,13320,0.13%
2021-08-04,228.559998,228.820007,228.279999,228.679993,228.679993,12764,92.938,92.79,92.995,92.72,16360,0.15%
2021-08-03,229.559998,229.729996,227.990005,228.470001,228.470001,15820,92.8,92.285,92.845,92.265,26170,0.59%
2021-08-02,230.419998,230.639999,229.820007,229.960007,229.960007,21942,92.252,92.28,92.36,92.12,10960,-0.02%
2021-07-30,230.729996,231.279999,230.470001,230.990005,230.990005,18787,92.274,92.045,92.315,91.82,16070,0.20%
2021-07-29,228.990005,230.220001,228.899994,229.550003,229.550003,16679,92.088,92.06,92.16,91.895,10270,0.02%
2021-07-28,227.830002,229.139999,227.800003,229,229,17379,92.065,92.15,92.18,91.92,14280,-0.13%
2021-07-27,227.350006,227.580002,226.860001,227.320007,227.320007,12649,92.188,91.895,92.215,91.78,22390,0.35%
2021-07-26,228.139999,229.800003,228,229.740005,229.740005,18169,91.871,92.255,92.29,91.85,23570,-0.48%
2021-07-23,228.429993,228.630005,227.910004,228.600006,228.600006,15179,92.317,92.46,92.785,92.235,28210,-0.13%
2021-07-22,228.889999,229.080002,227.850006,227.899994,227.899994,20754,92.436,92.625,92.845,92.32,21090,-0.23%
2021-07-21,230.210007,231.690002,229.850006,231.690002,231.690002,17914,92.651,92.915,92.975,92.54,17460,-0.30%
2021-07-20,230.190002,231.779999,230.190002,231.580002,231.580002,22228,92.928,92.85,93.04,92.785,12470,0.11%
2021-07-19,229.649994,229.820007,228.880005,228.970001,228.970001,27211,92.83,92.81,92.93,92.505,23390,0.08%
2021-07-16,230.029999,230.300003,228.979996,229.309998,229.309998,22351,92.759,92.97,93.195,92.73,18580,-0.24%
2021-07-15,228.089996,228.699997,227.899994,228.679993,228.679993,17203,92.979,92.875,93.18,92.805,17810,0.09%
2021-07-14,226.449997,227.020004,226.25,226.889999,226.889999,13630,92.9,92.7,93.05,92.63,24200,0.23%
2021-07-13,225.369995,225.699997,225.110001,225.509995,225.509995,12002,92.687,92.585,92.76,92.53,15020,0.06%
2021-07-12,225.270004,225.759995,224.949997,225,225,13336,92.631,92.405,92.695,92.275,16280,0.24%
2021-07-09,226.399994,227.490005,226.110001,226.149994,226.149994,23314,92.405,92.795,92.835,92.345,19380,-0.38%
2021-07-08,224.990005,225.520004,224.559998,224.990005,224.990005,14875,92.759,92.205,92.81,92.135,22010,0.55%
2021-07-07,223.539993,224.600006,223.440002,224.009995,224.009995,17941,92.256,92.14,92.42,92.075,10540,0.15%
2021-07-06,221.759995,222.399994,221.559998,222.119995,222.119995,14678,92.116,92.38,92.545,92.085,14470,-0.31%
2021-07-05,222.360001,222.360001,221.539993,221.929993,221.929993,14333,92.406,92.705,92.79,92.24,23110,-0.26%
2021-07-02,221.949997,222.610001,221.820007,222.300003,222.300003,12438,92.645,92.54,92.84,92.415,23690,0.11%
2021-07-01,220.110001,221.809998,220.110001,221.809998,221.809998,21462,92.543,92.255,92.655,91.995,24700,0.14%
2021-06-30,218.889999,219.080002,218.039993,218.729996,218.729996,18884,92.413,92.25,92.355,92.135,11020,0.00%
2021-06-29,219.279999,219.550003,219.070007,219.5,219.5,18138,92.413,92.575,92.76,92.17,24560,-0.20%
2021-06-28,219.020004,219.509995,218.020004,219.429993,219.429993,23088,92.594,92.355,92.6,92.255,20840,0.18%
2021-06-25,218.589996,218.770004,218.130005,218.720001,218.720001,15976,92.431,92.07,92.44,92,17120,0.42%
2021-06-24,219.149994,219.399994,218.490005,218.949997,218.949997,16317,92.041,91.87,92.195,91.85,14080,0.18%
2021-06-23,219.759995,220.639999,219.570007,220.360001,220.360001,23902,91.876,91.82,92.01,91.685,14040,0.03%
2021-06-22,221.009995,222.309998,221.009995,221.160004,221.160004,13630,91.844,91.83,91.865,91.52,16640,0.05%
2021-06-21,220.210007,221.419998,220.070007,220.850006,220.850006,27682,91.795,91.805,91.915,91.645,11980,0.01%
